HH_Labor	Ward	HH_CultVar	HH_PlantingDay	CultArea	HHSize	
5	1	3	330	1	9	
5	1	3	330	1	8	
5	1	3	330	1	7	
5	1	3	344	1	7	
2	1	3	330	1	4	
5	1	3	330	1	8	
2	1	3	344	1	4	
5	1	3	344	1	8	
2	1	3	330	1	4	
5	1	3	344	1	7	
2	1	3	344	1	4	
2	1	3	330	1	3	
5	1	3	330	1	9	
4	1	3	344	1	6	
4	1	3	344	1	6	
6	1	3	330	1	11	
5	1	3	344	1	7	
2	1	3	330	1	3	
3	1	3	330	1	5	
4	1	3	330	1	6	
3	1	3	330	1	5	
2	1	3	344	1	4	
3	1	3	330	1	5	
5	1	3	330	1	7	
5	1	3	344	1	7	
2	1	3	344	1	3	
3	1	3	330	1	5	
2	1	3	344	1	4	
5	1	3	344	1	7	
2	1	3	330	1	2	
2	1	3	344	1	3	
4	1	3	330	1	6	
4	1	3	330	1	6	
3	1	3	344	1	5	
2	1	3	344	1	4	
3	1	3	344	1	5	
5	1	3	330	1	8	
2	1	3	344	1	3	
2	1	3	330	1	2	
2	1	3	344	1	4	
6	1	3	344	1	11	
7	1	3	330	1	13	
2	1	3	330	1	2	
4	1	3	344	1	6	
5	1	3	330	1	8	
4	1	3	330	1	6	
5	1	3	330	1	8	
3	1	3	330	1	5	
2	1	3	344	1	2	
5	1	3	344	1	7	
7	1	3	344	1	0	
2	1	3	344	1	3	
3	1	3	330	1	5	
2	1	3	330	1	2	
4	1	3	330	1	6	
3	1	3	330	1	5	
4	1	3	330	1	6	
3	1	3	330	1	5	
2	1	3	330	1	4	
5	1	3	330	1	8	
1	1	3	344	1	1	
2	1	3	330	1	2	
2	1	3	330	1	3	
3	1	3	344	1	5	
2	1	3	330	1	4	
5	1	3	330	1	8	
4	1	3	330	1	6	
5	1	3	344	1	8	
3	1	3	344	1	5	
3	1	3	344	1	5	
3	1	3	344	1	5	
5	1	3	344	1	9	
4	1	3	330	1	6	
2	1	3	330	1	2	
5	1	3	330	1	8	
4	1	3	330	1	6	
7	1	3	330	1	14	
5	1	3	344	1	9	
3	1	3	344	1	5	
5	1	3	344	1	7	
5	1	3	330	1	7	
6	1	3	330	1	10	
5	1	3	344	1	8	
2	1	3	344	1	4	
6	1	3	344	1	11	
5	1	3	330	1	8	
5	1	3	330	1	8	
4	1	3	330	1	6	
2	1	3	344	1	3	
5	1	3	330	1	9	
4	1	3	330	1	6	
4	1	3	344	1	6	
2	1	3	344	1	4	
2	1	3	344	1	4	
4	1	3	344	1	6	
5	1	3	330	1	8	
4	1	3	330	1	6	
3	1	3	330	1	5	
3	1	3	330	1	5	
2	1	3	330	1	4	
2	1	3	344	1	4	
4	1	3	344	1	6	
3	1	3	330	1	5	
5	1	3	344	1	7	
2	1	3	330	1	4	
3	1	3	344	1	5	
5	1	3	344	1	9	
2	1	3	330	1	3	
4	1	3	330	1	6	
3	1	3	330	1	5	
3	1	3	330	1	5	
5	1	3	344	1	7	
4	1	3	344	1	6	
5	1	3	344	1	7	
3	1	3	344	1	5	
5	1	3	344	1	9	
3	1	3	344	1	5	
6	1	3	330	1	10	
6	1	3	344	1	10	
4	1	3	344	1	6	
5	1	3	330	1	7	
2	1	3	344	1	4	
4	1	3	330	1	6	
4	1	3	344	1	6	
3	1	3	344	1	5	
2	1	3	344	1	4	
5	1	3	344	1	7	
4	1	3	330	1	6	
2	1	3	330	1	2	
2	1	3	330	1	4	
5	1	3	344	1	7	
3	1	3	344	1	5	
2	1	3	344	1	3	
5	1	3	344	1	7	
5	1	3	344	1	7	
5	1	3	344	1	8	
4	1	3	330	1	6	
4	1	3	330	1	6	
1	1	3	330	1	1	
1	1	3	330	1	1	
3	1	3	330	1	5	
4	1	3	344	1	6	
2	1	3	330	1	4	
3	1	3	344	1	5	
5	1	3	344	1	7	
5	1	3	344	1	7	
5	1	3	330	1	8	
5	1	3	330	1	8	
5	1	3	344	1	9	
2	1	3	344	1	3	
4	1	3	330	1	6	
2	1	3	344	1	4	
2	1	3	344	1	2	
1	1	3	330	1	1	
6	1	3	344	1	12	
2	1	3	330	1	3	
2	1	3	330	1	4	
4	1	3	344	1	6	
4	1	3	330	1	6	
5	1	3	330	1	8	
3	1	3	330	1	5	
2	1	3	330	1	4	
2	1	3	330	1	4	
4	1	3	330	1	6	
2	1	3	344	1	2	
1	1	3	344	1	1	
3	1	3	344	1	5	
6	1	3	344	1	12	
5	1	3	330	1	8	
5	1	3	330	1	7	
5	1	3	344	1	7	
5	1	3	330	1	7	
4	1	3	344	1	6	
5	1	3	344	1	7	
3	1	3	330	1	5	
2	1	3	330	1	3	
5	1	3	344	1	8	
4	1	3	344	1	6	
5	1	3	330	1	8	
6	1	3	330	1	11	
3	1	3	344	1	5	
4	1	3	330	1	6	
4	1	3	330	1	6	
2	1	3	344	1	4	
3	1	3	330	1	5	
2	1	3	330	1	2	
2	1	3	344	1	4	
5	1	3	330	1	7	
1	1	3	330	1	1	
5	1	3	330	1	8	
6	1	3	330	1	10	
6	1	3	330	1	10	
