HH_Labor	Ward	HH_CultVar	HH_PlantingDay	CultArea	HHSize	
5	12	3	330	1	8	
5	12	3	344	1	7	
2	12	3	330	1	4	
5	12	3	344	1	8	
2	12	3	344	1	3	
5	12	3	344	1	7	
5	12	3	330	1	7	
3	12	3	344	1	5	
4	12	3	330	1	6	
5	12	3	344	1	7	
3	12	3	330	1	5	
5	12	3	344	1	9	
3	12	3	330	1	5	
5	12	3	344	1	8	
2	12	3	344	1	3	
6	12	3	330	1	12	
4	12	3	344	1	6	
4	12	3	344	1	6	
5	12	3	330	1	9	
2	12	3	344	1	2	
5	12	3	330	1	7	
3	12	3	330	1	5	
6	12	3	330	1	10	
4	12	3	330	1	6	
5	12	3	330	1	7	
4	12	3	344	1	6	
2	12	3	344	1	4	
5	12	3	344	1	7	
5	12	3	330	1	8	
5	12	3	344	1	9	
5	12	3	330	1	7	
4	12	3	344	1	6	
4	12	3	344	1	6	
2	12	3	330	1	3	
5	12	3	344	1	7	
6	12	3	330	1	11	
4	12	3	344	1	6	
4	12	3	330	1	6	
6	12	3	344	1	10	
4	12	3	330	1	6	
3	12	3	330	1	5	
5	12	3	344	1	7	
2	12	3	344	1	2	
5	12	3	330	1	8	
3	12	3	344	1	5	
2	12	3	344	1	4	
6	12	3	330	1	11	
4	12	3	330	1	6	
3	12	3	330	1	5	
5	12	3	344	1	8	
6	12	3	344	1	10	
3	12	3	344	1	5	
5	12	3	344	1	8	
5	12	3	330	1	8	
4	12	3	330	1	6	
2	12	3	344	1	3	
2	12	3	330	1	3	
4	12	3	344	1	6	
5	12	3	344	1	8	
3	12	3	330	1	5	
4	12	3	344	1	6	
2	12	3	344	1	3	
3	12	3	330	1	5	
3	12	3	344	1	5	
6	12	3	330	1	10	
2	12	3	344	1	3	
2	12	3	330	1	4	
3	12	3	344	1	5	
6	12	3	344	1	10	
4	12	3	344	1	6	
2	12	3	330	1	3	
5	12	3	330	1	8	
2	12	3	344	1	4	
2	12	3	330	1	3	
6	12	3	344	1	10	
4	12	3	344	1	6	
4	12	3	344	1	6	
4	12	3	344	1	6	
2	12	3	344	1	3	
2	12	3	330	1	4	
4	12	3	344	1	6	
2	12	3	330	1	4	
2	12	3	330	1	4	
3	12	3	330	1	5	
4	12	3	344	1	6	
2	12	3	344	1	2	
4	12	3	344	1	6	
4	12	3	344	1	6	
4	12	3	330	1	6	
5	12	3	330	1	7	
5	12	3	344	1	8	
4	12	3	344	1	6	
3	12	3	344	1	5	
6	12	3	330	1	10	
2	12	3	344	1	3	
2	12	3	344	1	2	
6	12	3	344	1	10	
2	12	3	344	1	3	
3	12	3	330	1	5	
5	12	3	344	1	8	
5	12	3	330	1	9	
5	12	3	330	1	7	
3	12	3	344	1	5	
2	12	3	330	1	4	
5	12	3	344	1	7	
2	12	3	330	1	3	
4	12	3	330	1	6	
2	12	3	344	1	3	
2	12	3	344	1	4	
5	12	3	330	1	8	
3	12	3	344	1	5	
5	12	3	330	1	9	
3	12	3	330	1	5	
2	12	3	330	1	4	
4	12	3	330	1	6	
5	12	3	330	1	7	
5	12	3	330	1	9	
5	12	3	344	1	8	
2	12	3	344	1	2	
5	12	3	330	1	7	
5	12	3	330	1	7	
5	12	3	344	1	7	
3	12	3	330	1	5	
5	12	3	330	1	8	
5	12	3	330	1	9	
3	12	3	344	1	5	
5	12	3	330	1	7	
2	12	3	330	1	4	
1	12	3	344	1	1	
2	12	3	344	1	4	
3	12	3	344	1	5	
5	12	3	344	1	7	
2	12	3	344	1	4	
3	12	3	344	1	5	
3	12	3	344	1	5	
6	12	3	344	1	10	
3	12	3	344	1	5	
7	12	3	330	1	14	
2	12	3	330	1	3	
1	12	3	344	1	1	
2	12	3	344	1	4	
5	12	3	330	1	8	
2	12	3	344	1	3	
2	12	3	330	1	2	
4	12	3	330	1	6	
5	12	3	344	1	7	
4	12	3	344	1	6	
3	12	3	344	1	5	
3	12	3	330	1	5	
4	12	3	344	1	6	
5	12	3	344	1	9	
4	12	3	330	1	6	
2	12	3	330	1	3	
2	12	3	344	1	4	
3	12	3	344	1	5	
2	12	3	344	1	4	
4	12	3	344	1	6	
2	12	3	344	1	4	
3	12	3	344	1	5	
4	12	3	344	1	6	
7	12	3	330	1	15	
2	12	3	330	1	4	
2	12	3	344	1	2	
2	12	3	344	1	3	
3	12	3	330	1	5	
2	12	3	344	1	4	
5	12	3	330	1	7	
3	12	3	344	1	5	
3	12	3	330	1	5	
5	12	3	330	1	7	
4	12	3	330	1	6	
4	12	3	330	1	6	
5	12	3	330	1	7	
2	12	3	330	1	4	
3	12	3	344	1	5	
2	12	3	344	1	2	
4	12	3	344	1	6	
1	12	3	330	1	1	
5	12	3	330	1	9	
7	12	3	330	1	0	
4	12	3	344	1	6	
5	12	3	330	1	7	
5	12	3	330	1	7	
5	12	3	330	1	7	
2	12	3	330	1	2	
5	12	3	330	1	7	
3	12	3	330	1	5	
3	12	3	344	1	5	
4	12	3	344	1	6	
2	12	3	330	1	3	
2	12	3	330	1	4	
2	12	3	330	1	4	
5	12	3	330	1	8	
5	12	3	330	1	9	
3	12	3	330	1	5	
2	12	3	330	1	3	
3	12	3	330	1	5	
5	12	3	344	1	9	
5	12	3	330	1	9	
2	12	3	330	1	2	
5	12	3	344	1	8	
5	12	3	344	1	7	
2	12	3	330	1	3	
3	12	3	344	1	5	
2	12	3	344	1	4	
4	12	3	330	1	6	
2	12	3	344	1	4	
2	12	3	344	1	3	
4	12	3	330	1	6	
3	12	3	330	1	5	
6	12	3	344	1	10	
3	12	3	344	1	5	
3	12	3	344	1	5	
2	12	3	330	1	2	
5	12	3	330	1	9	
5	12	3	344	1	8	
2	12	3	330	1	4	
5	12	3	330	1	9	
4	12	3	330	1	6	
2	12	3	344	1	4	
2	12	3	330	1	4	
3	12	3	330	1	5	
5	12	3	344	1	8	
4	12	3	330	1	6	
4	12	3	330	1	6	
5	12	3	330	1	8	
2	12	3	344	1	4	
5	12	3	344	1	8	
5	12	3	330	1	7	
6	12	3	344	1	10	
5	12	3	330	1	7	
3	12	3	330	1	5	
2	12	3	344	1	2	
4	12	3	330	1	6	
2	12	3	344	1	3	
5	12	3	344	1	9	
2	12	3	344	1	2	
3	12	3	344	1	5	
2	12	3	330	1	4	
6	12	3	344	1	10	
5	12	3	330	1	7	
5	12	3	330	1	9	
3	12	3	344	1	5	
3	12	3	344	1	5	
4	12	3	344	1	6	
3	12	3	330	1	5	
2	12	3	330	1	4	
2	12	3	330	1	4	
5	12	3	344	1	7	
5	12	3	344	1	8	
5	12	3	344	1	9	
5	12	3	344	1	7	
2	12	3	330	1	4	
5	12	3	344	1	7	
1	12	3	344	1	1	
5	12	3	344	1	7	
3	12	3	344	1	5	
